theta,A2,a,b,z,status
50.0,0.0,5.1,9.8,-2.0,NotYet
50.0,2.0,5.1,9.8,-2.0,NotYet
50.0,4.0,5.1,9.8,-2.0,NotYet
50.0,6.0,5.1,9.8,-2.0,NotYet
50.0,8.0,5.1,9.8,-2.0,NotYet
50.0,10.0,5.1,9.8,-2.0,NotYet
50.0,0.0,5.1,9.8,-1.8,NotYet
50.0,2.0,5.1,9.8,-1.8,NotYet
50.0,6.0,5.1,9.8,-1.8,NotYet
50.0,8.0,5.1,9.8,-1.8,NotYet
50.0,10.0,5.1,9.8,-1.8,NotYet
50.0,-2.0,5.1,9.8,-1.6,NotYet
50.0,0.0,5.1,9.8,-1.6,NotYet
50.0,2.0,5.1,9.8,-1.6,NotYet
50.0,4.0,5.1,9.8,-1.6,NotYet
50.0,6.0,5.1,9.8,-1.6,NotYet
50.0,8.0,5.1,9.8,-1.6,NotYet
50.0,10.0,5.1,9.8,-1.6,NotYet
50.0,4.0,5.1,9.8,-1.8,NotYet
50.0,0.0,5.1,9.8,-1.4,NotYet
50.0,2.0,5.1,9.8,-1.4,NotYet
50.0,4.0,5.1,9.8,-1.4,NotYet
50.0,6.0,5.1,9.8,-1.4,NotYet
50.0,8.0,5.1,9.8,-1.4,NotYet
50.0,10.0,5.1,9.8,-1.4,NotYet
50.0,-2.0,5.1,9.8,-1.2,NotYet
50.0,0.0,5.1,9.8,-1.2,NotYet
50.0,2.0,5.1,9.8,-1.2,NotYet
50.0,4.0,5.1,9.8,-1.2,NotYet
50.0,6.0,5.1,9.8,-1.2,NotYet
50.0,8.0,5.1,9.8,-1.2,NotYet
50.0,10.0,5.1,9.8,-1.2,NotYet
50.0,-2.0,5.1,9.8,-1.4,NotYet
50.0,-2.0,5.1,9.8,-1.0,NotYet
50.0,0.0,5.1,9.8,-1.0,NotYet
50.0,2.0,5.1,9.8,-1.0,NotYet
50.0,4.0,5.1,9.8,-1.0,NotYet
50.0,6.0,5.1,9.8,-1.0,NotYet
50.0,8.0,5.1,9.8,-1.0,NotYet
50.0,10.0,5.1,9.8,-1.0,NotYet
50.0,-2.0,5.1,9.8,-0.8,NotYet
50.0,0.0,5.1,9.8,-0.8,NotYet
50.0,2.0,5.1,9.8,-0.8,NotYet
50.0,4.0,5.1,9.8,-0.8,NotYet
50.0,6.0,5.1,9.8,-0.8,NotYet
50.0,10.0,5.1,9.8,-0.8,NotYet
50.0,-4.0,5.1,9.8,-0.6,NotYet
50.0,-2.0,5.1,9.8,-0.6,NotYet
50.0,0.0,5.1,9.8,-0.6,NotYet
50.0,2.0,5.1,9.8,-0.6,NotYet
50.0,4.0,5.1,9.8,-0.6,NotYet
50.0,6.0,5.1,9.8,-0.6,NotYet
50.0,8.0,5.1,9.8,-0.6,NotYet
50.0,10.0,5.1,9.8,-0.6,NotYet
50.0,-4.0,5.1,9.8,-0.4,NotYet
50.0,-2.0,5.1,9.8,-0.4,NotYet
50.0,0.0,5.1,9.8,-0.4,NotYet
50.0,8.0,5.1,9.8,-0.8,NotYet
50.0,4.0,5.1,9.8,-0.4,NotYet
50.0,6.0,5.1,9.8,-0.4,NotYet
50.0,8.0,5.1,9.8,-0.4,NotYet
50.0,10.0,5.1,9.8,-0.4,NotYet
50.0,-6.0,5.1,9.8,-0.2,NotYet
50.0,-4.0,5.1,9.8,-0.2,NotYet
50.0,-2.0,5.1,9.8,-0.2,NotYet
50.0,0.0,5.1,9.8,-0.2,NotYet
50.0,2.0,5.1,9.8,-0.2,NotYet
50.0,4.0,5.1,9.8,-0.2,NotYet
50.0,6.0,5.1,9.8,-0.2,NotYet
50.0,8.0,5.1,9.8,-0.2,NotYet
50.0,10.0,5.1,9.8,-0.2,NotYet
50.0,-6.0,5.1,9.8,0.0,NotYet
50.0,2.0,5.1,9.8,-0.4,NotYet
50.0,-2.0,5.1,9.8,0.0,NotYet
50.0,0.0,5.1,9.8,0.0,NotYet
50.0,2.0,5.1,9.8,0.0,NotYet
50.0,4.0,5.1,9.8,0.0,NotYet
50.0,6.0,5.1,9.8,0.0,NotYet
50.0,8.0,5.1,9.8,0.0,NotYet
50.0,10.0,5.1,9.8,0.0,NotYet
50.0,-6.0,5.1,9.8,0.2,NotYet
50.0,-4.0,5.1,9.8,0.2,NotYet
50.0,-2.0,5.1,9.8,0.2,NotYet
50.0,0.0,5.1,9.8,0.2,NotYet
50.0,2.0,5.1,9.8,0.2,NotYet
50.0,4.0,5.1,9.8,0.2,NotYet
50.0,6.0,5.1,9.8,0.2,NotYet
50.0,8.0,5.1,9.8,0.2,NotYet
50.0,10.0,5.1,9.8,0.2,NotYet
50.0,-4.0,5.1,9.8,0.0,NotYet
50.0,-8.0,5.1,9.8,0.4,NotYet
50.0,-6.0,5.1,9.8,0.4,NotYet
50.0,-4.0,5.1,9.8,0.4,NotYet
50.0,-2.0,5.1,9.8,0.4,NotYet
50.0,0.0,5.1,9.8,0.4,NotYet
50.0,2.0,5.1,9.8,0.4,NotYet
50.0,4.0,5.1,9.8,0.4,NotYet
50.0,6.0,5.1,9.8,0.4,NotYet
50.0,8.0,5.1,9.8,0.4,NotYet
50.0,10.0,5.1,9.8,0.4,NotYet
50.0,-8.0,5.1,9.8,0.6,NotYet
50.0,-6.0,5.1,9.8,0.6,NotYet
50.0,-4.0,5.1,9.8,0.6,NotYet
50.0,-2.0,5.1,9.8,0.6,NotYet
50.0,0.0,5.1,9.8,0.6,NotYet
50.0,2.0,5.1,9.8,0.6,NotYet
50.0,4.0,5.1,9.8,0.6,NotYet
50.0,8.0,5.1,9.8,0.6,NotYet
50.0,10.0,5.1,9.8,0.6,NotYet
50.0,-8.0,5.1,9.8,0.8,NotYet
50.0,-6.0,5.1,9.8,0.8,NotYet
50.0,-4.0,5.1,9.8,0.8,NotYet
50.0,-2.0,5.1,9.8,0.8,NotYet
50.0,0.0,5.1,9.8,0.8,NotYet
50.0,2.0,5.1,9.8,0.8,NotYet
50.0,4.0,5.1,9.8,0.8,NotYet
50.0,6.0,5.1,9.8,0.8,NotYet
50.0,8.0,5.1,9.8,0.8,NotYet
50.0,10.0,5.1,9.8,0.8,NotYet
50.0,-8.0,5.1,9.8,1.0,NotYet
50.0,-6.0,5.1,9.8,1.0,NotYet
50.0,-4.0,5.1,9.8,1.0,NotYet
50.0,-2.0,5.1,9.8,1.0,NotYet
50.0,6.0,5.1,9.8,0.6,NotYet
50.0,2.0,5.1,9.8,1.0,NotYet
50.0,4.0,5.1,9.8,1.0,NotYet
50.0,6.0,5.1,9.8,1.0,NotYet
50.0,8.0,5.1,9.8,1.0,NotYet
50.0,10.0,5.1,9.8,1.0,NotYet
50.0,-4.0,5.1,9.8,1.2,NotYet
50.0,-2.0,5.1,9.8,1.2,NotYet
50.0,0.0,5.1,9.8,1.2,NotYet
50.0,2.0,5.1,9.8,1.2,NotYet
50.0,4.0,5.1,9.8,1.2,NotYet
