theta,A2,phi,a,b,z,status
25.0,6.0,40.0,8.2,6.2,-0.2,NotYet
25.0,6.0,40.0,8.2,6.2,-0.4,NotYet
25.0,4.0,40.0,8.2,6.2,-0.2,NotYet
25.0,8.0,40.0,8.2,6.2,-0.4,NotYet
25.0,4.0,40.0,8.2,6.2,-0.4,NotYet
25.0,8.0,40.0,8.2,6.2,-0.2,NotYet
25.0,6.0,40.0,8.2,6.2,-0.6,NotYet
25.0,8.0,40.0,8.2,6.2,-0.6,NotYet
25.0,4.0,40.0,8.2,6.2,0.0,NotYet
25.0,6.0,40.0,8.2,6.2,0.0,NotYet
25.0,2.0,40.0,8.2,6.2,-0.2,NotYet
25.0,4.0,40.0,8.2,6.2,-0.6,NotYet
25.0,8.0,40.0,8.2,6.2,2.0,NotYet
25.0,10.0,140.0,8.2,6.2,-0.4,NotYet
25.0,2.0,40.0,8.2,6.2,0.0,NotYet
25.0,6.0,30.0,8.2,6.2,-0.8,NotYet
25.0,8.0,40.0,8.2,6.2,-0.8,NotYet
25.0,8.0,40.0,8.2,6.2,0.0,NotYet
25.0,2.0,40.0,8.2,6.2,-0.4,NotYet
25.0,10.0,40.0,8.2,6.2,-0.6,NotYet
25.0,8.0,40.0,8.2,6.2,1.8,NotYet
25.0,4.0,40.0,8.2,6.2,-0.8,NotYet
25.0,6.0,30.0,8.2,6.2,-1.0,NotYet
25.0,6.0,40.0,8.2,6.2,2.0,NotYet
25.0,10.0,140.0,8.2,6.2,-0.2,NotYet
25.0,4.0,40.0,8.2,6.2,0.2,NotYet
25.0,6.0,40.0,8.2,6.2,0.2,NotYet
25.0,8.0,30.0,8.2,6.2,-1.0,NotYet
25.0,10.0,40.0,8.2,6.2,-0.8,NotYet
25.0,4.0,30.0,8.2,6.2,-1.0,NotYet
25.0,6.0,30.0,8.2,6.2,-1.2,NotYet
25.0,2.0,40.0,8.2,6.2,-0.6,NotYet
25.0,2.0,40.0,8.2,6.2,0.2,NotYet
25.0,6.0,40.0,8.2,6.2,1.8,NotYet
25.0,10.0,50.0,8.2,6.2,2.0,NotYet
25.0,4.0,30.0,8.2,6.2,-1.2,NotYet
25.0,8.0,40.0,8.2,6.2,1.6,NotYet
25.0,8.0,30.0,8.2,6.2,-1.2,NotYet
25.0,0.0,40.0,8.2,6.2,0.0,NotYet
25.0,8.0,40.0,8.2,6.2,0.2,NotYet
25.0,0.0,40.0,8.2,6.2,-0.2,NotYet
25.0,12.0,140.0,8.2,6.2,-0.6,NotYet
25.0,2.0,40.0,8.2,6.2,-0.8,NotYet
25.0,12.0,140.0,8.2,6.2,-0.4,NotYet
25.0,6.0,30.0,8.2,6.2,-1.4,NotYet
25.0,6.0,40.0,8.2,6.2,1.6,NotYet
25.0,8.0,40.0,8.2,6.2,1.4,NotYet
25.0,10.0,40.0,8.2,6.2,-1.0,NotYet
25.0,10.0,140.0,8.2,6.2,0.0,NotYet
25.0,8.0,40.0,8.2,6.2,1.2,NotYet
25.0,10.0,50.0,8.2,6.2,1.8,NotYet
25.0,6.0,40.0,8.2,6.2,1.4,NotYet
25.0,8.0,40.0,8.2,6.2,1.0,NotYet
25.0,2.0,40.0,8.2,6.2,-1.0,NotYet
25.0,6.0,40.0,8.2,6.2,1.2,NotYet
25.0,6.0,40.0,8.2,6.2,0.4,NotYet
25.0,8.0,30.0,8.2,6.2,-1.4,NotYet
25.0,4.0,40.0,8.2,6.2,0.4,NotYet
25.0,6.0,40.0,8.2,6.2,1.0,NotYet
25.0,0.0,40.0,8.2,6.2,-0.4,NotYet
25.0,8.0,40.0,8.2,6.2,0.8,NotYet
25.0,0.0,40.0,8.2,6.2,0.2,NotYet
25.0,4.0,40.0,8.2,6.2,2.0,NotYet
25.0,4.0,30.0,8.2,6.2,-1.4,NotYet
25.0,6.0,40.0,8.2,6.2,0.8,NotYet
25.0,12.0,140.0,8.2,6.2,-0.8,NotYet
25.0,8.0,40.0,8.2,6.2,0.4,NotYet
25.0,10.0,30.0,8.2,6.2,-1.2,NotYet
25.0,6.0,40.0,8.2,6.2,0.6,NotYet
25.0,2.0,40.0,8.2,6.2,0.4,NotYet
30.0,2.0,140.0,4.1,11.9,-0.2,NotYet
30.0,4.0,140.0,4.1,11.9,-0.4,NotYet
30.0,4.0,140.0,4.1,11.9,-0.2,NotYet
30.0,2.0,140.0,4.1,11.9,-0.4,NotYet
30.0,2.0,140.0,4.1,11.9,0.0,NotYet
30.0,4.0,140.0,4.1,11.9,-0.6,NotYet
30.0,6.0,140.0,4.1,11.9,-0.6,NotYet
30.0,6.0,140.0,4.1,11.9,-0.4,NotYet
30.0,4.0,140.0,4.1,11.9,0.0,NotYet
30.0,0.0,130.0,4.1,11.9,0.0,NotYet
30.0,0.0,140.0,4.1,11.9,-0.2,NotYet
30.0,2.0,140.0,4.1,11.9,0.2,NotYet
30.0,2.0,150.0,4.1,11.9,-0.6,NotYet
30.0,6.0,140.0,4.1,11.9,-0.8,NotYet
30.0,0.0,130.0,4.1,11.9,0.2,NotYet
30.0,4.0,150.0,4.1,11.9,-0.8,NotYet
30.0,6.0,140.0,4.1,11.9,-0.2,NotYet
30.0,0.0,140.0,4.1,11.9,-0.4,NotYet
30.0,8.0,130.0,4.1,11.9,-0.8,NotYet
30.0,8.0,130.0,4.1,11.9,-1.0,NotYet
30.0,8.0,140.0,4.1,11.9,-0.6,NotYet
30.0,4.0,140.0,4.1,11.9,0.2,NotYet
30.0,-2.0,130.0,4.1,11.9,0.0,NotYet
30.0,2.0,150.0,4.1,11.9,-0.8,NotYet
30.0,0.0,130.0,4.1,11.9,0.4,NotYet
30.0,-2.0,130.0,4.1,11.9,0.2,NotYet
30.0,6.0,130.0,4.1,11.9,-1.0,NotYet
30.0,2.0,140.0,4.1,11.9,0.4,NotYet
30.0,4.0,150.0,4.1,11.9,-1.0,NotYet
30.0,8.0,130.0,4.1,11.9,-1.2,NotYet
30.0,-2.0,130.0,4.1,11.9,-0.2,NotYet
30.0,10.0,130.0,4.1,11.9,-1.2,NotYet
30.0,-2.0,130.0,4.1,11.9,0.4,NotYet
30.0,0.0,140.0,4.1,11.9,-0.6,NotYet
30.0,10.0,130.0,4.1,11.9,-1.0,NotYet
30.0,6.0,140.0,4.1,11.9,0.0,NotYet
30.0,10.0,130.0,4.1,11.9,-1.4,NotYet
30.0,8.0,140.0,4.1,11.9,-0.4,NotYet
30.0,2.0,150.0,4.1,11.9,-1.0,NotYet
30.0,0.0,130.0,4.1,11.9,0.6,NotYet
30.0,-4.0,120.0,4.1,11.9,0.4,NotYet
30.0,-4.0,120.0,4.1,11.9,0.2,NotYet
30.0,6.0,130.0,4.1,11.9,-1.2,NotYet
30.0,8.0,130.0,4.1,11.9,-1.4,NotYet
30.0,4.0,140.0,4.1,11.9,0.4,NotYet
30.0,10.0,130.0,4.1,11.9,-0.8,NotYet
30.0,-2.0,130.0,4.1,11.9,0.6,NotYet
30.0,12.0,130.0,4.1,11.9,-1.4,NotYet
30.0,2.0,140.0,4.1,11.9,0.6,NotYet
30.0,4.0,150.0,4.1,11.9,-1.2,NotYet
30.0,10.0,130.0,4.1,11.9,-1.6,NotYet
30.0,12.0,130.0,4.1,11.9,-1.6,NotYet
30.0,-2.0,130.0,4.1,11.9,-0.4,NotYet
30.0,-4.0,120.0,4.1,11.9,0.6,NotYet
30.0,-4.0,120.0,4.1,11.9,0.0,NotYet
30.0,12.0,130.0,4.1,11.9,-1.2,NotYet
30.0,0.0,150.0,4.1,11.9,-0.8,NotYet
30.0,-6.0,120.0,4.1,11.9,0.6,NotYet
30.0,-6.0,120.0,4.1,11.9,0.4,NotYet
30.0,12.0,130.0,4.1,11.9,-1.8,NotYet
30.0,6.0,120.0,4.1,11.9,-1.4,NotYet
30.0,2.0,150.0,4.1,11.9,-1.2,NotYet
30.0,8.0,130.0,4.1,11.9,-1.6,NotYet
30.0,6.0,140.0,4.1,11.9,0.2,NotYet
30.0,10.0,130.0,4.1,11.9,-1.8,NotYet
30.0,0.0,130.0,4.1,11.9,0.8,NotYet
30.0,14.0,130.0,4.1,11.9,-1.8,NotYet
30.0,14.0,130.0,4.1,11.9,-1.6,NotYet
30.0,4.0,150.0,4.1,11.9,-1.4,NotYet
30.0,-2.0,130.0,4.1,11.9,0.8,NotYet
