phi,E
0.0,29.277
10.0,29.444
20.0,29.497
30.0,28.765
40.0,27.398
50.0,26.294
60.0,25.585
70.0,25.359
80.0,25.183
90.0,25.117
100.0,25.219
110.0,25.361
120.0,25.683
130.0,26.321
140.0,27.385
150.0,28.659
160.0,29.407
170.0,29.27
180.0,29.127
190.0,29.305
200.0,29.359
210.0,28.662
220.0,27.332
230.0,26.248
240.0,25.612
250.0,25.324
260.0,25.202
270.0,25.133
280.0,25.158
290.0,25.317
300.0,25.654
310.0,26.3
320.0,27.398
330.0,28.761
340.0,29.468
350.0,29.417
360.0,29.277
